,name,ingredients,ingredients_pre,url,serve
2128,단짠단짠 순살치킨,"닭안심350g,감자칩1봉지,시리얼1컵,소금조금,후추조금","['시리얼', '소금', '닭안심', '후추', '감자칩']",https://www.haemukja.com/recipes/3588,3
2129,뚝배기 불고기,"쇠고기 불고기용(등심 또는 앞/뒷다릿살)250g,대파15cm,양파1/2개,불린 당면1/2줌,물(또는 다시마육수)300ml,납작 썬 당근⅛ 개,양념장 재료내용 참고","['양념장 재료내용 참고', '쇠고기 불고기용', '당면', '대파', '납작  당근', '양파']",https://www.haemukja.com/recipes/3593,3
2130,삼계탕,"닭한마리,밤4알,마늘4알,대추4개,찹쌀반컵,수삼한뿌리(중)","['찹쌀반컵', '밤', '닭한마리', '마늘', '대추', '수삼한뿌리']",https://www.haemukja.com/recipes/3581,2
2131,만두치즈떡볶이,"죠스떡볶이1개,샤오롱만두1팩,스트링치즈1개","['샤오롱만두', '죠스떡볶이', '스트링치즈']",https://www.haemukja.com/recipes/3583,2
2132,익송이네 홍꼬탕,"홍합한바구니,꼬막세주먹,다시포1개,무1/4개,청양고추6개,다진마늘1큰 술,후추1/2작은 술,소금1큰 술,해물다시다1큰 술,우동사리1개","['해물다시다', '후추', '우동사리', '소금', '꼬막세주먹', '마늘', '홍합한바구니', '다시포', '청양고추', '무']",https://www.haemukja.com/recipes/3590,4
2133,만능 양념참치,"통조림 참치2캔,양파1/3개,고추1개,대파10cm,당근1/8개,다진 마늘2/3큰술,고춧가루1/2큰술,고추장2큰술,물엿1.5큰술","['물엿', '고추', '대파', '당근', '고춧가루', '마늘', '고추장', '양파', '통조림 참치']",https://www.haemukja.com/recipes/3592,2
2134,설렁순대국밥,"봉희설렁탕1개,햇반반공기1개,순대1팩","['봉희설렁탕', '순대', '햇반반공기']",https://www.haemukja.com/recipes/3580,1
2135,중국만두 소룡포(샤오룽바오),"생 만두피적당량,다진 돼지고기400g,양배추 작은 것1/2통,맛술2큰술,소금후추약간,육수용 국물재료약간,간장1큰술,가루한천2 티스푼","['돼지고기', '간장', '양배추', '육수용 국물재료', '맛술', '소금후추', '생 만두피', '가루한천']",https://www.haemukja.com/recipes/3595,4
2136,오지치즈후라이,"오감자1봉,슬라이스치즈2장,스트링치즈1개","['슬라이스치즈', '오감자', '스트링치즈']",https://www.haemukja.com/recipes/3579,2
2137,달걀조림,"달걀6개,간장2.5T,들기름1T,고춧가루3/4T,올리고당1T,다진마늘1t,쪽파5g,통깨1/2t","['올리고당', '간장', '쪽파', '들기름', '고춧가루', '달걀', '마늘', '통깨']",https://www.haemukja.com/recipes/3567,1
2138,초간단 꽁치김치찌개,"꽁치통조림1캔,김치200g,라면스프1봉지,물400mL","['라면스프', '김치', '꽁치통조림']",https://www.haemukja.com/recipes/3568,1
2139,투움바파스타,"쪽파20g,휘핑크림250mL,진간장1T,페투치니면150g,칵테일새우80g,고춧가루1/2T,청주1T,다진마늘1/2T,캐첩1/2T,브로콜리50g,양송이버섯50g,베이컨40g,식용유1t,다진마늘1/2t,후추1g","['휘핑크림', '페투치니면', '칵테일새우', '청주', '베이컨', '양송이버섯', '쪽파', '후추', '브로콜리', '고춧가루', '마늘', '진간장', '캐첩', '식용유']",https://www.haemukja.com/recipes/3569,1
